Month,Day,ConfirmDiff,RecoverDiff,DeathsDiff
10,8,375.0,18.0,5.0
10,9,354.0,188.0,6.0
10,10,374.0,73.0,3.0
10,11,561.0,133.0,2.0
10,12,563.0,109.0,2.0
10,13,660.0,350.0,4.0
10,14,660.0,233.0,4.0
10,15,589.0,409.0,3.0
10,16,629.0,245.0,6.0
10,17,869.0,302.0,4.0
10,18,871.0,701.0,7.0
10,19,865.0,455.0,3.0
10,20,862.0,634.0,3.0
10,21,732.0,580.0,6.0
10,22,847.0,486.0,5.0
10,23,710.0,467.0,10.0
10,24,1228.0,671.0,7.0
10,25,823.0,579.0,8.0
10,26,1240.0,691.0,7.0
10,27,835.0,674.0,2.0
10,28,801.0,573.0,8.0
10,29,649.0,685.0,0.0
10,30,799.0,491.0,3.0
10,31,659.0,1000.0,0.0
11,1,957.0,972.0,0.0
11,2,834.0,900.0,2.0
11,3,1054.0,875.0,12.0
11,4,1032.0,820.0,8.0
11,5,1009.0,839.0,6.0
11,6,1755.0,726.0,2.0
11,7,1168.0,1029.0,3.0
11,8,852.0,825.0,4.0
11,9,972.0,1345.0,8.0
11,10,869.0,725.0,6.0
11,11,822.0,769.0,2.0
11,12,919.0,996.0,1.0
11,13,1304.0,900.0,1.0
11,14,1114.0,803.0,2.0
11,15,1208.0,1013.0,3.0
11,16,1103.0,821.0,4.0
11,17,1210.0,1018.0,5.0
11,18,660.0,630.0,4.0
11,19,1290.0,878.0,4.0
11,20,958.0,956.0,3.0
11,21,1041.0,1405.0,3.0
11,22,1096.0,1104.0,3.0
11,23,1884.0,883.0,2.0
11,24,2188.0,1673.0,4.0
11,25,970.0,2348.0,4.0
