Date,Confirmed,Recovered,Deaths,Active
2020-04-02,3116,767,50,2299
2020-04-03,3333,827,53,2453
2020-04-04,3483,915,57,2511
2020-04-05,3662,1005,61,2596
2020-04-06,3793,1241,62,2490
2020-04-07,3963,1321,63,2579
2020-04-08,4119,1487,65,2567
2020-04-09,4228,1608,67,2553
2020-04-10,4346,1830,70,2446
2020-04-11,4530,1995,73,2462
2020-04-12,4683,2108,76,2499
2020-04-13,4817,2276,77,2464
2020-04-14,4987,2478,82,2427
2020-04-15,5072,2647,83,2342
2020-04-16,5182,2766,84,2332
2020-04-17,5251,2967,86,2198
2020-04-18,5305,3102,88,2115
2020-04-19,5389,3197,89,2103
2020-04-20,5425,3295,89,2041
2020-04-21,5482,3349,92,2041
2020-04-22,5532,3452,93,1987
2020-04-23,5603,3542,95,1966
2020-04-24,5691,3663,96,1932
2020-04-25,5742,3762,98,1882
2020-04-26,5780,3862,98,1820
2020-04-27,5820,3957,99,1764
2020-04-28,5851,4032,100,1719
2020-04-29,5945,4087,100,1758
2020-04-30,6002,4171,102,1729
2020-05-01,6071,4210,103,1758
2020-05-02,6176,4326,103,1747
2020-05-03,6298,4413,105,1780
2020-05-04,6353,4484,105,1764
2020-05-05,6383,4567,106,1710
2020-05-06,6428,4702,107,1619
2020-05-07,6467,4776,107,1584
2020-05-08,6535,4864,107,1564
2020-05-09,6589,4929,108,1552
2020-05-10,6656,5025,108,1523
2020-05-11,6726,5113,109,1504
2020-05-12,6742,5223,109,1410
2020-05-13,6779,5281,111,1387
2020-05-14,6819,5351,112,1356
2020-05-15,6855,5439,112,1304
2020-05-16,6872,5512,113,1247
2020-05-17,6894,5571,113,1210
2020-05-18,6941,5615,113,1213
2020-05-19,6978,5646,114,1218
2020-05-20,7009,5706,114,1189
2020-05-21,7059,5796,114,1149
2020-05-22,7137,5859,115,1163
2020-05-23,7185,5912,115,1158
2020-05-24,7245,5945,115,1185
2020-05-25,7417,5979,115,1323
2020-05-26,7604,6041,115,1448
2020-05-27,7619,6083,115,1421
2020-05-28,7629,6169,115,1345
2020-05-29,7732,6235,115,1382
2020-05-30,7762,6330,115,1317
2020-05-31,7819,6353,115,1351
2020-06-01,7857,6404,115,1338
2020-06-02,7877,6470,115,1292
2020-06-03,7970,6531,115,1324
2020-06-04,8247,6559,115,1573
2020-06-05,8266,6610,116,1540
2020-06-06,8303,6635,117,1551
2020-06-07,8322,6674,117,1531
2020-06-08,8329,6694,117,1518
2020-06-09,8336,6975,117,1244
2020-06-10,8338,7014,118,1206
2020-06-11,8369,7065,118,1186
2020-06-12,8402,7168,119,1115
2020-06-13,8445,7311,120,1014
2020-06-14,8453,7346,121,986
2020-06-15,8494,7400,121,973
2020-06-16,8505,7733,121,651
2020-06-17,8515,7873,121,521
2020-06-18,8529,8000,121,408
2020-06-19,8535,8070,121,344
2020-06-20,8556,8146,121,289
2020-06-21,8572,8156,121,295
2020-06-22,8587,8177,121,289
2020-06-23,8590,8186,121,283
2020-06-24,8596,8231,121,244
2020-06-25,8600,8271,121,208
2020-06-26,8606,8294,121,191
2020-06-27,8616,8308,121,187
2020-06-28,8634,8318,121,195
2020-06-29,8637,8334,121,182
2020-06-30,8639,8354,121,164
2020-07-01,8640,8375,121,144
2020-07-02,8643,8437,121,85
2020-07-03,8648,8446,121,81
2020-07-04,8658,8461,121,76
2020-07-05,8663,8465,121,77
2020-07-06,8668,8476,121,71
2020-07-07,8674,8481,121,72
2020-07-08,8677,8486,121,70
2020-07-09,8683,8499,121,63
2020-07-10,8696,8511,121,64
2020-07-11,8704,8515,122,67
2020-07-12,8718,8519,122,77
2020-07-13,8725,8520,122,83
2020-07-14,8729,8524,122,83
2020-07-15,8734,8526,122,86
2020-07-16,8737,8538,122,77
2020-07-17,8755,8541,122,92
2020-07-18,8764,8546,122,96
2020-07-19,8779,8553,123,103
2020-07-20,8800,8555,123,122
2020-07-21,8815,8562,123,130
2020-07-22,8831,8566,123,142
2020-07-23,8840,8574,123,143
2020-07-24,8861,8577,123,161
2020-07-25,8884,8594,123,167
2020-07-26,8897,8600,124,173
2020-07-27,8904,8601,124,179
2020-07-28,8943,8607,124,212
2020-07-29,8956,8612,124,220
2020-07-30,8964,8617,124,223
2020-07-31,8976,8644,125,207
2020-08-01,8985,8647,125,213
2020-08-02,8999,8664,125,210
2020-08-03,9001,8668,125,208
2020-08-04,9002,8684,125,193
2020-08-05,9023,8702,125,196
2020-08-06,9038,8713,125,200
2020-08-07,9063,8728,125,210
2020-08-08,9070,8775,125,170
2020-08-09,9083,8784,125,174
2020-08-10,9094,8803,125,166
2020-08-11,9103,8809,125,169
2020-08-12,9114,8817,125,172
2020-08-13,9129,8821,125,183
2020-08-14,9149,8828,125,196
2020-08-15,9175,8831,125,219
2020-08-16,9200,8859,125,216
2020-08-17,9212,8876,125,211
2020-08-18,9219,8902,125,192
2020-08-19,9235,8925,125,185
2020-08-20,9240,8932,125,183
2020-08-21,9249,8945,125,179
2020-08-22,9257,8949,125,183
2020-08-23,9267,8959,125,183
2020-08-24,9274,8965,125,184
2020-08-25,9285,8971,125,189
2020-08-26,9291,8978,125,188
2020-08-27,9296,8994,125,177
2020-08-28,9306,9030,125,151
2020-08-29,9317,9038,125,154
2020-08-30,9334,9048,126,160
2020-08-31,9340,9054,127,159
2020-09-01,9354,9075,128,151
2020-09-02,9360,9079,128,153
2020-09-03,9374,9083,128,163
2020-09-04,9385,9092,128,165
2020-09-05,9391,9113,128,150
2020-09-06,9397,9115,128,154
2020-09-07,9459,9124,128,207
2020-09-08,9559,9136,128,295
2020-09-09,9583,9143,128,312
2020-09-10,9628,9167,128,333
2020-09-11,9810,9181,128,501
2020-09-12,9868,9189,128,551
2020-09-13,9915,9196,128,591
2020-09-14,9946,9203,128,615
2020-09-15,9969,9209,128,632
2020-09-16,10031,9235,128,668
2020-09-17,10052,9250,128,674
2020-09-18,10147,9264,129,754
2020-09-19,10167,9315,130,722
2020-09-20,10219,9355,130,734
2020-09-21,10276,9395,130,751
2020-09-22,10358,9563,130,665
2020-09-23,10505,9602,133,770
2020-09-24,10576,9666,133,777
2020-09-25,10687,9696,133,858
2020-09-26,10769,9785,133,851
2020-09-27,10919,9835,134,950
2020-09-28,11034,9889,134,1011
2020-09-29,11135,9939,134,1062
2020-09-30,11224,9967,136,1121
2020-10-01,11484,10014,136,1334
2020-10-02,11771,10095,136,1540
2020-10-03,12088,10216,137,1735
2020-10-04,12381,10283,137,1961
2020-10-05,12813,10340,137,2336
2020-10-06,13504,10427,141,2936
2020-10-07,13993,10501,141,3351
2020-10-08,14368,10519,146,3703
2020-10-09,14722,10707,152,3863
2020-10-10,15096,10780,155,4161
2020-10-11,15657,10913,157,4587
2020-10-12,16220,11022,159,5039
2020-10-13,16880,11372,163,5345
2020-10-14,17540,11605,167,5768
2020-10-15,18129,12014,170,5945
2020-10-16,18758,12259,176,6323
2020-10-17,19627,12561,180,6886
2020-10-18,20498,13262,187,7049
2020-10-19,21363,13717,190,7456
2020-10-20,22225,14351,193,7681
2020-10-21,22957,14931,199,7827
2020-10-22,23804,15417,204,8183
2020-10-23,24514,15884,214,8416
2020-10-24,25742,16555,221,8966
2020-10-25,26565,17134,229,9202
2020-10-26,27805,17825,236,9744
2020-10-27,28640,18499,238,9903
2020-10-28,29441,19072,246,10123
2020-10-29,30090,19757,246,10087
2020-10-30,30889,20248,249,10392
2020-10-31,31548,21248,249,10051
2020-11-01,32505,22220,249,10036
2020-11-02,33339,23120,251,9968
2020-11-03,34393,23995,263,10135
2020-11-04,35425,24815,271,10339
2020-11-05,36434,25654,277,10503
2020-11-06,38189,26380,279,11530
2020-11-07,39357,27409,282,11666
2020-11-08,40209,28234,286,11689
2020-11-09,41181,29579,294,11308
2020-11-10,42050,30304,300,11446
2020-11-11,42872,31073,302,11497
2020-11-12,43791,32069,303,11419
2020-11-13,45095,32969,304,11822
2020-11-14,46209,33772,306,12131
2020-11-15,47417,34785,309,12323
2020-11-16,48520,35606,313,12601
2020-11-17,49730,36624,318,12788
2020-11-18,50390,37254,322,12814
2020-11-19,51680,38132,326,13222
2020-11-20,52638,39088,329,13221
2020-11-21,53679,40493,332,12854
2020-11-22,54775,41597,335,12843
2020-11-23,56659,42480,337,13842
2020-11-24,58847,44153,341,14353
2020-11-25,59817,46501,345,12971
